CLI FLAGS EXTRACTED FROM /root/dbbackup/cmd/*.go
================================================
FLAG_NAME | TYPE | DEFAULT | REGISTERED_IN
=== RESTORE PITR FLAGS (cmd/restore.go - restorePITRCmd) ===
base-backup | string | "" | restorePITRCmd
wal-archive | string | "" | restorePITRCmd
target-time | string | "" | restorePITRCmd
target-xid | string | "" | restorePITRCmd
target-lsn | string | "" | restorePITRCmd
target-name | string | "" | restorePITRCmd
target-immediate | bool | false | restorePITRCmd
target-action | string | "promote" | restorePITRCmd
target-dir | string | "" | restorePITRCmd
timeline | string | "latest" | restorePITRCmd
inclusive | bool | true | restorePITRCmd
skip-extraction | bool | false | restorePITRCmd
auto-start | bool | false | restorePITRCmd
monitor | bool | false | restorePITRCmd

=== RESTORE DIAGNOSE FLAGS (cmd/restore.go - restoreDiagnoseCmd) ===
json | bool | false | restoreDiagnoseCmd
deep | bool | false | restoreDiagnoseCmd
keep-temp | bool | false | restoreDiagnoseCmd
verbose | bool | false | restoreDiagnoseCmd

=== RESTORE BENCHMARK FLAGS (cmd/restore_benchmark.go) ===
file | string | "" | restoreBenchmarkCmd+restoreBenchmarkPipelineCmd
database | string | "" | restoreBenchmarkCmd+restoreBenchmarkPipelineCmd
jobs | int | runtime.NumCPU() | restoreBenchmarkCmd+restoreBenchmarkPipelineCmd
pprof | bool | false | restoreBenchmarkCmd+restoreBenchmarkPipelineCmd
pprof-port | int | 6060 | restoreBenchmarkCmd+restoreBenchmarkPipelineCmd
host | string | "localhost" | restoreBenchmarkCmd+restoreBenchmarkPipelineCmd
port | int | 5432 | restoreBenchmarkCmd+restoreBenchmarkPipelineCmd
user | string | "postgres" | restoreBenchmarkCmd+restoreBenchmarkPipelineCmd
password | string | "" | restoreBenchmarkCmd+restoreBenchmarkPipelineCmd

=== RESTORE BENCHMARK PIPELINE-SPECIFIC FLAGS (cmd/restore_benchmark.go) ===
chunk-mb | int | 4 | restoreBenchmarkPipelineCmd
channel-size | int | 64 | restoreBenchmarkPipelineCmd

=== RESTORE PREVIEW FLAGS (cmd/restore_preview.go) ===
compare-schema | bool | false | restorePreviewCmd
estimate | bool | true | restorePreviewCmd
verbose | bool | false | restorePreviewCmd

=== RETENTION SIMULATOR FLAGS (cmd/retention_simulator.go - retentionSimulatorCmd) ===
days | int | 30 | retentionSimulatorCmd
min-backups | int | 5 | retentionSimulatorCmd
strategy | string | "simple" | retentionSimulatorCmd
format | string | "text" | retentionSimulatorCmd
backup-dir | string | "" | retentionSimulatorCmd
daily | int | 7 | retentionSimulatorCmd
weekly | int | 4 | retentionSimulatorCmd
monthly | int | 12 | retentionSimulatorCmd
yearly | int | 5 | retentionSimulatorCmd

=== RETENTION SIMULATOR COMPARE FLAGS (cmd/retention_simulator.go - retentionSimulatorCompareCmd) ===
days | []int | [7,14,30,60,90] | retentionSimulatorCompareCmd
backup-dir | string | "" | retentionSimulatorCompareCmd
min-backups | int | 5 | retentionSimulatorCompareCmd

=== RTO ANALYZE FLAGS (cmd/rto.go - rtoAnalyzeCmd) ===
database | string | "" | rtoAnalyzeCmd
target-rto | string | "4h" | rtoAnalyzeCmd
target-rpo | string | "1h" | rtoAnalyzeCmd
catalog | string | "" | rtoAnalyzeCmd
format | string | "text" | rtoAnalyzeCmd
output | string | "" | rtoAnalyzeCmd

=== RTO STATUS FLAGS (cmd/rto.go - rtoStatusCmd) ===
catalog | string | "" | rtoStatusCmd
target-rto | string | "4h" | rtoStatusCmd
target-rpo | string | "1h" | rtoStatusCmd

=== RTO CHECK FLAGS (cmd/rto.go - rtoCheckCmd) ===
database | string | "" | rtoCheckCmd
target-rto | string | "4h" | rtoCheckCmd
target-rpo | string | "1h" | rtoCheckCmd
catalog | string | "" | rtoCheckCmd

=== SCHEDULE FLAGS (cmd/schedule.go) ===
format | string | "table" | scheduleCmd
timer | string | "" | scheduleCmd
all | bool | false | scheduleCmd

=== VALIDATE FLAGS (cmd/validate.go) ===
format | string | "table" | validateCmd
quick | bool | false | validateCmd

=== VERIFY BACKUP FLAGS (cmd/verify.go) ===
quick | bool | false | verifyBackupCmd
verbose | bool | false | verifyBackupCmd

=== VERIFY RESTORE FLAGS (cmd/verify_restore.go) ===
engine | string | "postgres" | verifyRestoreCmd
host | string | "localhost" | verifyRestoreCmd
port | int | 5432 | verifyRestoreCmd
user | string | "" | verifyRestoreCmd
password | string | "" | verifyRestoreCmd
database | string | "" | verifyRestoreCmd
databases | string | "" | verifyRestoreCmd
compare | string | "" | verifyRestoreCmd
backup-file | string | "" | verifyRestoreCmd
json | bool | false | verifyRestoreCmd
parallel | int | 1 | verifyRestoreCmd

=== VERSION FLAGS (cmd/version.go) ===
format | string | "table" | versionCmd

TOTAL: ~370 flag registrations across 30+ source files
